DATE                      R50                 R100                R200
2017-07-31  5.219665169716E-01  5.233545899391E-01  5.863013863564E-01
2017-08-01  5.251045823097E-01  5.320954918861E-01  5.881708860397E-01
2017-08-02  4.704652428627E-01  5.063626766205E-01  5.596933364868E-01
2017-08-03  4.522193074226E-01  4.915164411068E-01  5.438116192818E-01
2017-08-04  4.676409065723E-01  5.066242814064E-01  5.544608831406E-01
2017-08-07  4.650313258171E-01  5.000000000000E-01  5.440131425858E-01
2017-08-08  4.337160885334E-01  4.690312445164E-01  5.300218462944E-01
2017-08-09  3.810020983219E-01  4.335627257824E-01  5.095471739769E-01
2017-08-10  3.063674271107E-01  3.811540603638E-01  4.642662405968E-01
2017-08-11  3.267223238945E-01  3.857142925262E-01  4.683751463890E-01
2017-08-14  3.862212896347E-01  4.333333373070E-01  5.016357898712E-01
2017-08-15  3.554279804230E-01  4.079365134239E-01  4.833787381649E-01
2017-08-16  3.670490086079E-01  4.164021015167E-01  4.888283312321E-01
2017-08-17  3.050052225590E-01  3.597883582115E-01  4.517711102962E-01
2017-08-18  3.190823793411E-01  3.654151260853E-01  4.526143670082E-01
2017-08-21  2.871287167072E-01  3.463775813580E-01  4.395424723625E-01
2017-08-22  3.340281248093E-01  3.934426307678E-01  4.602829217911E-01
2017-08-23  3.182291686535E-01  3.807509243488E-01  4.510337412357E-01
2017-08-24  3.329864740372E-01  3.945002555847E-01  4.600326120853E-01
2017-08-25  3.728549182415E-01  4.087784290314E-01  4.692767858505E-01
2017-08-28  3.728549182415E-01  4.140666425228E-01  4.714518785477E-01
2017-08-29  3.733749389648E-01  4.149048626423E-01  4.660141468048E-01
2017-08-30  3.952158093452E-01  4.323467314243E-01  4.725394248962E-01
2017-08-31  4.360706806183E-01  4.614164829254E-01  4.940217435360E-01
2017-09-01  4.706493616104E-01  4.783298075199E-01  5.078761577606E-01
2017-09-05  4.306493401527E-01  4.469096660614E-01  4.923995733261E-01
